"id","company_code","property_dwid","status_code","sale_price","project_dwid","released_on","sold_on","sold_psf","property_size_sqft","price_psf","building_dwid","unit_type","unit_type_code","unit_group_dwid","stack_text","floor_text","list_price","bedroom_count","area_sqft_sqm_text","currency_symbol","address_unit_text","bathroom_count","country_text","data_source","block_text","project_text","updated_by","updated_on","created_by","created_on","floor_plan_url","estimated_monthly_rent","location_district_text","est_rental_yield","virtual_tour_url","model_3d_url","property_size_sqm","price_psm","source_dwid","sold_psm","transacted_price","floor_plan_2d_url","price1_label","price2_label","price2_psf","price2_psm","price1_psf","price1_psm","transacted_psf","transacted_psm","location_region_text","price1","price2","unit_count","last_activity_text"
546017,rea,"14a3c3e681f252c36ed713c64203d915",AVAILABLE,1475000,f7fea87e1a59592e817cd84c2b416bb4,,,,969,,e9736d6e60649faf9317f5d973f173e3,"3 Bedroom Premium",A4P,"7ba1dfbcb2ca1180f6b2887eff78cc0c","03","12",,3,"969/90",$,#12-03,2,Singapore,,BLK 1,Lumina Grand,,2024-01-24 15:44:12.276,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/c1818422fbf24b3dd97673faafb2c27c.jpg,,D23,,,,90,,,,,,NPS Price,DPS Price,,,,,,,OCR,1475000,1520000,1,
546018,rea,"075e203ef52a033eb439ad5571902381",AVAILABLE,1535000,f7fea87e1a59592e817cd84c2b416bb4,,,,1173,,e9736d6e60649faf9317f5d973f173e3,"3 Bedroom Premium",A3P-PH,a630cf02f285ba408845887176c5b5f4,"04","13",,3,"1173/109",$,#13-04,2,Singapore,,BLK 1,Lumina Grand,,2024-01-24 15:44:12.614,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/3c76256e4528ea8ed3b8bf58c5807adf.jpg,,D23,,,,109,,,,,,NPS Price,DPS Price,,,,,,,OCR,1535000,1582000,1,
545984,rea,dd7aff2cc379239bbf2af0961402a51f,AVAILABLE,1801000,f7fea87e1a59592e817cd84c2b416bb4,,,,1259,,fce248a56374db1f1de9804b8b149d05,"4 Bedroom",B3,"5c6b4ece14247d1e9102e08dc016d478","18","04",,4,"1259/117",$,#04-18,2,Singapore,,BLK 11,Lumina Grand,,2024-01-24 15:44:10.023,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/d7d35520413135831953ef537c4becdf.jpg,,D23,,,,117,,,,,,NPS Price,DPS Price,,,,,,,OCR,1801000,1856000,1,
545985,rea,cdfb3b3970fad40b4eaba01fb4a78f6d,AVAILABLE,1535000,f7fea87e1a59592e817cd84c2b416bb4,,,,1130,,fce248a56374db1f1de9804b8b149d05,"3 Bedroom Premium",A4P-PH,"7e2f5fe1cb630522617a78beb5ecef77","19","13",,3,"1130/105",$,#13-19,2,Singapore,,BLK 11,Lumina Grand,,2024-01-24 15:44:12.748,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/eea7f89f00109ea178edeb0a438974de.jpg,,D23,,,,105,,,,,,NPS Price,DPS Price,,,,,,,OCR,1535000,1582000,1,
545980,rea,"6ea44478028b88ebf0ba46712467c59d",AVAILABLE,2199000,f7fea87e1a59592e817cd84c2b416bb4,,,,1496,,"7208296d2b62bd44d08690e905d7f1ac","5 Bedroom",C2,"9909b20e0bfb4787e3a5761c61390563","12","09",,5,"1496/139",$,#09-12,3,Singapore,,BLK 7,Lumina Grand,,2024-01-24 15:44:11.418,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/5cb133598468795f4da74ffca5176094.jpg,,D23,,,,139,,,,,,NPS Price,DPS Price,,,,,,,OCR,2199000,2266000,1,
545981,rea,e33767762e1de5c9de7b22cdc1a93250,AVAILABLE,1393000,f7fea87e1a59592e817cd84c2b416bb4,,,,936,,ef70dde149f9d4211a5e0a8264f1e087,"3 Bedroom",A2,"86bce6146c3e267728e2e7e238ef159c","14","10",,3,"936/87",$,#10-14,2,Singapore,,BLK 9,Lumina Grand,,2024-01-24 15:44:11.706,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/92ca7d517315471841fe62a39312462c.jpg,,D23,,,,87,,,,,,NPS Price,DPS Price,,,,,,,OCR,1393000,1436000,1,
545983,rea,a5d1ee83a1e46ad7741bafb60ae2cb1d,AVAILABLE,1843000,f7fea87e1a59592e817cd84c2b416bb4,,,,1259,,fce248a56374db1f1de9804b8b149d05,"4 Bedroom",B3,"5c6b4ece14247d1e9102e08dc016d478","18","10",,4,"1259/117",$,#10-18,2,Singapore,,BLK 11,Lumina Grand,,2024-01-24 15:44:11.737,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/d7d35520413135831953ef537c4becdf.jpg,,D23,,,,117,,,,,,NPS Price,DPS Price,,,,,,,OCR,1843000,1866000,1,
545982,rea,"93076231a37455c0436900311f8c0e40",AVAILABLE,1849000,f7fea87e1a59592e817cd84c2b416bb4,,,,1259,,fce248a56374db1f1de9804b8b149d05,"4 Bedroom",B3,"5c6b4ece14247d1e9102e08dc016d478","18","11",,4,"1259/117",$,#11-18,2,Singapore,,BLK 11,Lumina Grand,,2024-01-24 15:44:12.036,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/d7d35520413135831953ef537c4becdf.jpg,,D23,,,,117,,,,,,NPS Price,DPS Price,,,,,,,OCR,1849000,1905000,1,
545987,rea,a6007900f9d52177436e58e365bf2cc9,AVAILABLE,1459000,f7fea87e1a59592e817cd84c2b416bb4,,,,1130,,"8d57afe1bf3693f8e53e3ab917071694","3 Bedroom Premium",A4P-PH,"7e2f5fe1cb630522617a78beb5ecef77","27","13",,3,"1130/105",$,#13-27,2,Singapore,,BLK 15,Lumina Grand,,2024-01-24 15:44:12.829,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/eea7f89f00109ea178edeb0a438974de.jpg,,D23,,,,105,,,,,,NPS Price,DPS Price,,,,,,,OCR,1459000,1596000,1,
545986,rea,"3162c9b71e8c673d6e1e4b8f78415219",AVAILABLE,1851000,f7fea87e1a59592e817cd84c2b416bb4,,,,1259,,"6bc3afe745f55ada53a4927210305d33","4 Bedroom",B3,"5c6b4ece14247d1e9102e08dc016d478","22","02",,4,"1259/117",$,#02-22,2,Singapore,,BLK 13,Lumina Grand,,2024-01-24 15:44:09.496,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/d7d35520413135831953ef537c4becdf.jpg,,D23,,,,117,,,,,,NPS Price,DPS Price,,,,,,,OCR,1851000,1907000,1,
