dw_project_id,project_name,tenure,proj_num_of_units,transaction_month,launch_year_month,launching_period,proj_max_floor,num_of_bedrooms,num_of_units,num_of_remaining_units,floor_area_sqm,price,sales,zone,neighborhood
f7fea87e1a59592e817cd84c2b416bb4,Lumina Grand,leasehold,512,1/1/24,1/1/24,1,13,3,306,306,90.35947712,1474.733846,,bukit batok,brickworks
f7fea87e1a59592e817cd84c2b416bb4,Lumina Grand,leasehold,512,1/1/24,1/1/24,1,13,4,155,155,114.3548387,1461.908266,,bukit batok,brickworks
f7fea87e1a59592e817cd84c2b416bb4,Lumina Grand,leasehold,512,1/1/24,1/1/24,1,13,5,51,51,140.5686275,1436.916584,,bukit batok,brickworks
